,Release ID,Album,Year,Artist Name,Label
165,405180,2000,Morphine (2),The Night,DreamWorks Records
166,407996,1997,Ivy,Apartment Life,Atlantic
167,409109,1994,Jawbox,For Your Own Special Sweetheart,Atlantic
168,409803,1992,Jawbox,Novelty,Dischord Records
169,410001,1997,Songs: Ohia,Hecla & Griper,Secretly Canadian
170,414374,1978,Kate Bush,The Kick Inside,EMI
171,415366,1997,Mission Of Burma,"Signals, Calls, And Marches",Rykodisc
172,415847,1993,PJ Harvey,4-Track Demos,Island Records
173,421406,1996,Red House Painters,Songs For A Blue Guitar,Supreme Recordings
174,421491,2002,Max Richter,Memoryhouse,Late Junction
175,422627,2004,David Kilgour,Frozen Orange,Arch Hill Recordings
176,428780,1991,Michael Nyman,Prospero's Books,Decca
177,438101,1989,Breathless,Chasing Promises,Tenor Vossa Records
178,438782,1986,Public Image Limited,Album,Virgin
179,441303,1996,Phish,Billy Breathes,Elektra
180,441876,2001,XTC,Go 2,Virgin
181,443741,1994,Phish,Hoist,Elektra
182,443817,1993,Phish,Rift,Elektra
183,444298,1992,Phish,A Picture Of Nectar,Elektra
184,444361,2004,Low,A Lifetime Of Temporary Relief - 10 Years Of B-Sides & Rarities,Rough Trade
185,446525,1999,Jim O'Rourke,Halfway To A Threeway,Domino
186,447956,2000,Sonic Youth,NYC Ghosts & Flowers,Geffen Records
187,448513,1993,David Sylvian & Robert Fripp,The First Day,Virgin
188,450236,2005,The Cure,Faith,Rhino Records (2)
189,450459,1999,Porcupine Tree,Stupid Dream,KScope
190,454023,1983,Virginia Astley,From Gardens Where We Feel Secure,Rough Trade
191,455901,1987,Hüsker Dü,Warehouse: Songs And Stories,Warner Bros. Records
192,456081,2005,Electrelane,Axes,Too Pure
193,461384,1982,Kate Bush,The Dreaming,EMI
194,461488,2001,XTC,White Music,Virgin
195,466710,1987,fIREHOSE,If'n,SST Records
196,467064,2000,Sweep The Leg Johnny,Sto Cazzo!,Southern Records
197,467112,1969,Nick Drake,Five Leaves Left,Island Records
198,467516,1984,Felt,The Strange Idols Pattern And Other Short Stories,Cherry Red
199,468507,1981,Echo & The Bunnymen,Heaven Up Here,Korova
200,471692,2004,American Music Club,Love Songs For Patriots,Merge Records
201,472518,1996,Go Sailor,Go Sailor,Lookout! Records
202,475208,1995,Nocturnal Projections,Nerve Ends In Power Lines,Raffmond
203,483137,1994,The Jesus Lizard,Down,Touch And Go
204,489405,1993,The God Machine,Scenes From The Second Storey,Fiction Records
205,489638,1982,Laurie Anderson,Big Science,Warner Bros. Records
206,490999,1999,Botch,We Are The Romans,Hydra Head Records
207,501070,2001,Oysterhead,The Grand Pecking Order,Elektra
208,502075,2005,Broadcast,Tender Buttons,Warp Records
209,502873,1985,Billy Bragg,Between The Wars,Go! Discs
210,503781,1995,Keith Jarrett Trio,Standards In Norway,ECM Records
211,503956,1989,Kirsty MacColl,Kite,Virgin
212,506636,2003,Felt,Crumbling The Antiseptic Beauty,Cherry Red
213,507593,2005,Opeth,Ghost Reveries,Roadrunner Records
214,508677,2000,Songs: Ohia,Ghost Tropic,Secretly Canadian
215,515428,1999,Songs: Ohia,Axxess & Ace,Secretly Canadian
216,515627,2004,The Mountain Goats,We Shall All Be Healed,4AD
217,516290,2004,Siouxsie & The Banshees,Downside Up,Polydor
218,516911,1989,Michael Manring,Toward The Center Of The Night,Windham Hill Records
219,520763,2003,The New Pornographers,Electric Version,Matador
220,521628,1984,Billy Bragg,Brewing Up With Billy Bragg,Go! Discs
221,524232,2002,The Wake,Here Comes Everybody + Singles,LTM (4)
222,525942,2005,Bob Mould,Body Of Song,Yep Roc Records
223,531169,2005,Caribou,The Milk Of Human Kindness,Leaf
224,531732,1982,Peter Gabriel,Security,Geffen Records
225,537923,2004,Silkworm,It'll Be Cool,Touch And Go
226,537927,2002,Silkworm,Italian Platinum,Touch And Go
227,538610,2005,A Frames,Black Forest,Sub Pop
228,538812,2002,Nina Nastasia,The Blackened Air,Touch And Go
229,539610,1993,Sugar (5),Beaster,Rykodisc
230,541766,2003,Silkworm,You Are Dignified,Touch And Go
231,541921,2003,Nina Nastasia,Run To Ruin,Touch And Go
232,542309,1989,fIREHOSE,fROMOHIO,SST Records
233,543829,1995,Anathema,The Silent Enigma,Peaceville
234,545527,1994,Low,I Could Live In Hope,Vernon Yard Recordings
235,548894,1996,Bob Mould,Bob Mould,Rykodisc
236,550353,1998,Botch,American Nervoso,Hydra Head Records
237,553199,2001,The New Year,Newness Ends,Touch And Go
238,557263,2003,Television,Adventure,Elektra
239,557518,1983,Ryuichi Sakamoto,Coda,London Records
240,561737,1995,Low,Long Division,Vernon Yard Recordings
241,564234,1980,Family Fodder,Monkey Banana Kitchen,Fresh Records (14)
242,566004,2004,The Cure,Join The Dots (B-Sides & Rarities 1978>2001 The Fiction Years),Fiction Records
243,566797,1972,Genesis,Foxtrot,Charisma
244,569611,1982,Minutemen,"""Bean-Spill""  E. P.",Thermidor
245,575541,2005,Test Icicles,For Screening Purposes Only,Domino
246,581304,1992,Catherine Wheel,Ferment,Fontana
247,583016,1996,Low,The Curtain Hits The Cast,Vernon Yard Recordings
248,583065,1996,Low,Transmission EP,Vernon Yard Recordings
249,594539,2002,Elk City,Hold Tight The Ropes,Talitres Records
250,599596,1990,The Clean,Vehicle,Flying Nun Records
251,605817,1985,Prefab Sprout,Steve McQueen,Kitchenware Records
252,605827,1988,Prefab Sprout,From Langley Park To Memphis,Kitchenware Records
253,605851,1984,Prefab Sprout,Swoon,Kitchenware Records
254,607103,1971,Nick Drake,Bryter Layter,Island Records
255,608008,2002,Carissa's Wierd,Songs About Leaving,Sad Robot
256,612102,2003,Gillian Welch,Soul Journey,Acony Records
